Категория;ВидПродукции;2014;2015;2016;2017
Хлеб и хлебобулочные изделия;Булочные изделия сдобные из муки высшего сорта штучные;140,42;160,31;167,79;173,4
Хлеб и хлебобулочные изделия;Бараночные изделия;105,62;122,18;130,32;135,4
Хлеб и хлебобулочные изделия;Хлопья из злаков (сухие завтраки);231,85;274,48;292,36;293,23
Макаронные и крупяные изделия;Рис шлифованный;53,03;67,87;63,98;62,83
Макаронные и крупяные изделия;Крупа манная;34,26;40,11;40,55;38,65
Макаронные и крупяные изделия;Пшено;32,5;36,2;33,86;31,47
Макаронные и крупяные изделия;Горох и фасоль;41,12;52,85;60,61;56,01
Макаронные и крупяные изделия;Крупа гречневая-ядрица;67,07;70,42;85,23;57,47
Макаронные и крупяные изделия;Крупы овсяная и перловая;27,78;31,35;32,13;30,06
Макаронные и крупяные изделия;Овсяные хлопья Геркулес;53,72;60,98;66,79;62,59
Макаронные и крупяные изделия;Вермишель;56,12;63,95;67,04;66,28
Макаронные и крупяные изделия;Макаронные изделия из пшеничной муки высшего сорта;55,18;66,01;68,41;67,61
Плодоовощная продукция, включая картофель;Картофель;26,66;19,91;20,25;22,25
Плодоовощная продукция, включая картофель;Капуста белокочанная свежая;25,55;22,68;17,96;16,14
Плодоовощная продукция, включая картофель;Лук репчатый;26,47;24,64;21,28;21,22
Плодоовощная продукция, включая картофель;Свёкла столовая;24,39;23,83;22,31;21,61
Плодоовощная продукция, включая картофель;Морковь;31,12;30,36;25,94;25,81
Плодоовощная продукция, включая картофель;Чеснок;112;196,39;260,26;166,61
Плодоовощная продукция, включая картофель;Огурцы свежие;125,34;158,93;135,38;148,26
Плодоовощная продукция, включая картофель;Помидоры свежие;127,2;163,3;127,22;142,65
Плодоовощная продукция, включая картофель;Овощи замороженные;136,21;198,21;208,3;207,53
Плодоовощная продукция, включая картофель;Яблоки;76,7;87,43;81,92;88,57
Плодоовощная продукция, включая картофель;Груши;106,85;128,87;129,96;134,16
Плодоовощная продукция, включая картофель;Апельсины;69,72;102,9;94,45;91,61
Плодоовощная продукция, включая картофель;Виноград;139,55;169,65;174,03;151,5
Плодоовощная продукция, включая картофель;Лимоны;100,53;146,41;120,17;124,15
