iter	RMSE
442	0.7696743031
443	0.7694369714
444	0.7691461181
445	0.7688451711
446	0.7686313749
447	0.7683876479
448	0.7681549421
449	0.7679409829
450	0.767553772
451	0.7673012947
452	0.7670169816
453	0.766739227
454	0.7664568751
455	0.7662217625
456	0.7659521835
457	0.7657627269
458	0.7654627039
459	0.765055529
460	0.7647984058
461	0.7646170565
462	0.7644287209
463	0.7641682705
464	0.7639378902
465	0.7637177523
466	0.7634158099
467	0.7632045863
468	0.7629925845
469	0.7628224101
470	0.7625627021
471	0.7623340928
472	0.7620989647
473	0.7619681941
474	0.7616519587
475	0.7614234383
476	0.7611924423
477	0.7608795862
478	0.7606438986
479	0.7604136863
480	0.760126878
481	0.7597145662
482	0.7595538854
483	0.7592689312
484	0.759053823
485	0.7588857294
486	0.7587068755
487	0.7584610908
488	0.7581988484
489	0.757974297
490	0.7577855138
491	0.7575692624
492	0.7574060396
493	0.7570576075
494	0.7568356633
495	0.7565534551
496	0.7562794923
497	0.756068604
498	0.7558960162
499	0.7557105125
